Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPEB00195	EU	FirstPlay Episode 002	http://zeus.dl.playstation.net/cdn/EP4142/NPEB00195_00/L1ySuW3652pAtDsswYuxJLurC8Dv4qUVbKRpxd0NgGTI3v294vwhRxwNXnVRh4r8jqD5KrpYjr7hJvl5iUuS4PM7qwXHYfhNVjWVn.pkg	7def6e6e2122b0d4ec79caa0a3f55f52	EP4142-NPEB00195_00-FIRSTPLAYEPSD002			1036423200			Jul 02, 2026
NPEB01930	EU	The Witch and the Hundred Knight	http://zeus.dl.playstation.net/cdn/EP1063/NPEB01930_00/sdhtexdLZvkPIbttnVspYXuFnTjRrhdTGRTXOjCyqpLidIaniLgnEpXLeGkvENTR.pkg	MISSING	EP1063-NPEB01930_00-0000111122223333			3412741568			Jul 02, 2026
NPEB01906	EU	MEO VideoClube	http://ares.dl.playstation.net/cdn/EP4428/NPEB01906_00/pmoProLBcusnhNggQWvBlALEvJqqjKgAvfGxEjidVXDEMGIOYTgkFjacJNgNQpdL.pkg	MISSING	EP4428-NPEB01906_00-WEBMAF00000MEOGO			38288384			Jul 02, 2026
NPUB31231	US	Farming Simulator	http://zeus.dl.playstation.net/cdn/UP4133/NPUB31231_00/ttKnjUlfzlNTJGUCpizCkhjlAQnayjaMCPqmwHYrWKopRNleqVfLqQPuHXgcDDyt.pkg	01515d2c356c19ac87c1279ff0717b17	UP4133-NPUB31231_00-FARMSIM2013V0000			482106080			Jul 02, 2026
BCET70029	EU	PlayStation®Plus Beta Trial	http://zeus.dl.playstation.net/cdn/EP0017/BCET70029_00/xGuxUvAqGZZFsMrJsBLvnEnLOdLxBFGFAYOcimijsLFLTtJiqaGNehtRwuSAQkIQ.pkg	6045e7f15ab1dcb34d329de8aa98f2c4	EP0017-BCET70029_00-DCUOLPS3LIVE0001			126351744			Jul 02, 2026
NPEB90249	EU	BACKBREAKER™ Demo	http://zeus.dl.playstation.net/cdn/EP4040/NPEB90249_00/MWUVYNvuDXS3vUjqMkmVkdeph1u2g2rTnvRFBWqaqq6C81pDKoA4cUPVQSqkxVfsaxE2R4maY0nYNYWFbwMYLEqEKir6gtVa1XnWc.pkg	MISSING	EP4040-NPEB90249_00-BACKBREAKERDEMO0			457552272			Jul 02, 2026
NPEA00249	EU	Beat Sketcher™	http://zeus.dl.playstation.net/cdn/EP9000/NPEA00249_00/BidjidtuSdfUDRiJauKUGIFOUVmbXlxRqpPpvRtZlXDVyQylxGWvuQgKRkVhSkkV.pkg	ebd8dcf2de0a1715f9b34354f97a7c7b	EP9000-NPEA00249_00-GBEATSKETC000001			1300851168			Jul 02, 2026
NPJA00033	JP	Ratchet & Clank FUTURE Gaiden - The Hidden Treasure of Pirate Dark Water	http://zeus.dl.playstation.net/cdn/JP9000/NPJA00033_00/LCv29uOTU3OiJy1ewcONbpopQWaYKtTveVin2Aw7JxLsilC5lCgkPNhXR0XVHhSXw26ObQgsKfTxsSNBMGyBHKOa7MPXXaLsFKv9N.pkg	132dec393b368da5c4a71feeffce7304	JP9000-NPJA00033_00-RATCHET550000001	2026-07-01 18:20:57		2961634096			Jul 02, 2026
NPEB00097	EU	Topatoi: Spinning Through The Worlds 	http://zeus.dl.playstation.net/cdn/EP4009/NPEB00097_00/M6A1FAjhj7WAVOwjEC0ox3pqrjtmlYhwy6GJCihytA7kLTPtCxfUvwDoFm4cHJvRhnv9O83VC8dFJ3InV19QyATLsDSlKf8ysTV3R.pkg	2164e3884c42e2fb178f138fa2126220	EP4009-NPEB00097_00-TOPATOI000000000	2026-07-01 18:21:55		205703104			Jul 02, 2026
NPED00103	EU	Need for Speed Most Wanted (PS2 Classic)	http://zeus.dl.playstation.net/cdn/EP0006/NPED00103_00/oHySWZomujFavFVkZVrnCYXBzgwYSnzEyIEpErjQZJrLnGwsXhsiMMZYSqiWzgmK.pkg	89f70b75965a306bd4acf07af87d866e	EP0006-NPED00103_00-GNEEDFORSP000ENG	2026-07-01 18:21:55		3727077792			Jul 02, 2026
